Time,Shank,Thigh,Wrist
3883,-0.9406898795215088,-2.456518755114783,1.2228659813321343
3884,-0.9791217435215088,-2.4540693531147832,1.0698729283321344
3885,-1.0686983155215088,-2.0728525411147833,0.9242274513321346
3886,-1.1950102375215088,-1.4521578121147831,0.7776543183321344
3887,-1.3257818285215088,-0.729464009114783,0.6009695053321346
3888,-1.4353256025215089,0.037081980885216914,0.36282603133213454
3889,-1.475130836521509,0.6764038278852169,0.04494306633213452
3890,-1.469023902521509,0.985837004885217,-0.3378981916678655
3891,-1.4540987215215089,0.918673042885217,-0.7201760196678655
3892,-1.431151494521509,0.649585946885217,-1.0218474056678655
3893,-1.427140686521509,-0.6817793241147831,-1.2346306366678657
3894,-1.4361032255215087,-3.2559097641147834,-1.4218479356678655
3895,-1.466048629521509,-2.344570695114783,-1.6304160506678653
3896,-1.5258500105215087,0.0338291578852169,-1.8859374506678654
3897,-1.5969489595215087,0.621836893885217,-2.2049042526678657
3898,-1.655144117521509,0.07580128088521693,-2.5898978596678655
3899,-1.688429844521509,-0.8001045411147831,-2.9858966226678656
3900,-1.6989247335215087,-1.621493643114783,-3.3208734406678655
3901,-1.7023553475215087,-2.3320962481147833,-3.5485044666678656
3902,-1.7232068805215088,-3.129794756114783,-3.6773154096678655
3903,-1.649891704521509,-3.4250875691147833,-3.7520376616678655
3904,-1.6140242685215087,-2.904432836114783,-3.8282209426678655
3905,-1.7173712505215089,-2.5807928351147833,-3.9227033216678655
3906,-1.8748857335215088,-2.6726487131147834,-4.041450319667866
3907,-1.985312542521509,-2.892998111114783,-4.196092996667866
3908,-2.015646757521509,-3.1668252461147834,-4.342912482667866
3909,-2.022301051521509,-3.424291532114783,-4.430897735667865
3910,-2.128933059521509,-3.517490631114783,-4.460107691667865
3911,-2.188427279521509,-3.421083015114783,-4.422447464667865
3912,-1.8844051635215089,-2.8355852691147834,-3.7938893036678656
3913,-2.0655007559747656,-4.262204223298156,-3.7737573353210423
3914,-2.0275933549747656,-4.1680783842981555,-3.797335938321042
3915,-1.9078964139747656,-3.8982247882981556,-3.779543101321042
3916,-1.7603903729747656,-3.6045380792981554,-3.732456030321042
3917,-1.6062309019747656,-3.3783616612981557,-3.663326233321042
3918,-1.5533715349747657,-3.2055197232981554,-3.569399622321042
3919,-1.6494943979747656,-3.0371955532981554,-3.452959386321042
3920,-1.6464543239747655,-2.8595434252981557,-3.3187263133210423
3921,-1.3144437959747657,-2.7108742812981554,-3.1689105113210423
3922,-0.8809158599747657,-2.6343417462981553,-3.0030192733210423
3923,-0.7425473229747657,-2.5942939952981554,-2.8192562233210423
3924,-0.9485461779747657,-2.5464786062981557,-2.6193181363210423
3925,-1.2030138529747656,-2.4727883222981557,-2.4176738453210422
3926,-1.3493271059747656,-2.3829853032981556,-2.204885310321042
3927,-1.3610916809747655,-2.2895233202981555,-1.9833170513210423
3928,-1.1903671079747657,-2.2176052892981555,-1.7483201793210421
3929,-0.7433309949747657,-2.1611169372981553,-1.4975289983210422
3930,-0.02313184997476564,-2.1339682342981554,-1.239082005321042
3931,0.6551905600252343,-2.1318666382981553,-0.9774377233210422
3932,1.0503129840252343,-2.1444407732981556,-0.7022764263210421
3933,1.2527641490252344,-2.1453372382981555,-0.4377083203210422
3934,1.5168164610252344,-2.1220631242981556,-0.16029919632104217
3935,1.9524789720252345,-2.0849654362981553,0.1530162136789578
3936,2.433673911025234,-1.9945221912981552,0.5278079656789578
3937,2.8093643960252344,-1.9320886682981553,0.9649229746789578
3938,3.0026374480252342,-1.9172482632981553,1.4162858076789577
3939,3.092297398025234,-1.9547136942981553,1.802676792678958
3940,3.188378787025234,-2.0689981742981556,2.0671399916789577
3941,3.295860997025234,-2.0742226282981555,2.186881833678958
3942,3.374778515025234,-1.8261566692981552,2.1815416256789577
3943,3.375538857025234,-1.4788371512981553,2.144011057678958
3944,3.2886917430252343,-1.1564990172981553,2.158326658678958
3945,3.189387538025234,-0.9407390172981553,2.250374383678958
3946,3.1223857980252343,-0.8183605092981554,2.3860720206789576
3947,3.051876114025234,-0.4019696412981554,2.5044936916789577
3948,2.9642526730252343,0.31032546570184466,2.564955153678958
3949,2.806291920025234,1.1787021657018446,2.557688320678958
3950,2.589165710025234,2.0803388877018443,2.5010406206789577
3951,2.243859986025234,2.8467209447018447,2.428242634678958
3952,1.8562295290252344,3.4055884087018446,2.368555005678958
3953,1.3945697800252344,3.6230793097018443,2.3339629966789577
3954,0.7148338240252343,3.4688999357018444,2.3228452736789578
3955,0.19329104402523434,3.1433075017018446,2.325532763678958
3956,-0.4114193979747657,2.9124338747018443,2.335636784678958
3957,-1.0626943459747658,2.8101187487018446,2.346990841678958
3958,-1.7243808039747657,2.7723608967018443,2.3504044266789577
3959,-2.2929028239747655,2.7765301217018443,2.3533848296789577
3960,-2.4275271049747658,2.8341586237018443,2.354097957678958
3961,-1.8307358919747656,2.9462167107018447,2.3329811196789576
3962,-2.5229483789747658,3.0426693707018444,2.274820526678958
3963,-3.9749850959747657,3.0118225677018446,2.180018124678958
3964,-3.925285039974766,2.8568958927018446,2.0630769306789576
3965,-3.344537919974766,2.6372760727018445,1.9422960436789576
3966,-3.4172491409747656,2.3729349217018445,1.839464174678958
3967,-3.2205592999747656,2.0862198147018445,1.7649935796789578
3968,-2.648551799974766,1.8352695127018446,1.7119580786789577
3969,-2.115731323974766,1.6272719807018448,1.6679480656789578
3970,-1.7610098789747657,1.4626119447018446,1.613354881678958
3971,-1.5041795259747657,1.3211307637018448,1.5285162316789578
3972,-1.1698395849747656,1.1854618347018446,1.4326011136789578
3973,-0.8919473089747656,1.0489562547018447,1.3707416856789578
3974,-0.7688988119747657,0.8786619297018448,1.3564172436789579
3975,-0.8500887179747656,0.6294654207018446,1.3829986456789578
3976,-1.0644491819747657,0.30650921370184464,1.4357848466789578
3977,-1.2128257289747657,-0.036841934298155354,1.4804278346789579
3978,-1.2727113529747656,-0.34859676229815534,1.4948448056789578
3979,-1.2884227969747657,-0.5966693682981554,1.4805115236789579
3980,-1.2147162169747656,-0.7921872842981554,1.4389615076789577
3981,-1.0476430179747656,-0.9943681342981554,1.360661239678958
3982,-0.8709493229747656,-1.2390188142981553,1.2376867476789577
3983,-0.7605734919747656,-1.4920758822981552,1.0798320486789579
3984,-0.7039301249747656,-1.7438620962981553,0.8948637536789579
3985,-0.6666016219747657,-2.0200234362981555,0.6698270996789577
3986,-0.6578866259747657,-2.2854360622981553,0.40540633367895784
3987,-0.7195702869747657,-2.4280337622981554,0.15229483467895777
3988,-0.8335326889747656,-2.3185159042981556,-0.043326177321042214
3989,-0.9581640809747656,-1.9175015482981552,-0.2002272883210422
3990,-1.0681891179747656,-1.3058962622981554,-0.3909577743210422
3991,-1.1616797259747658,-0.6333431922981554,-0.6799378413210422
3992,-1.2346631159747656,-0.13259307729815537,-1.0734123673210423
3993,-1.2774094929747657,0.12384973170184466,-1.5346823743210423
3994,-1.3140752889747656,0.2283439907018447,-2.0088723733210423
3995,-1.3787316299747656,-0.18811038229815535,-2.437495855321042
3996,-1.4271183669747656,-1.9508139992981552,-2.7825696223210423
3997,-1.4571052439747656,-2.5721836602981556,-3.036962394321042
3998,-1.5015377679747657,-0.28262242529815534,-3.2203718263210424
3999,-1.5481294909747656,1.3907426507018448,-3.362837107321042
4000,-1.5790953089747657,0.9142081587018447,-3.490483471321042
4001,-1.5733927399747656,-0.20773734729815535,-3.615568468321042
4002,-1.5211222069747656,-1.2881094872981553,-3.7087731103210424
4003,-1.4416033269747657,-2.2170507222981555,-3.7512637483210423
